run_id,model_run_time
1,73230354
2,267029
3,254987
4,264144
5,261178
6,266799
7,284030
8,259595
9,866309
10,336960
11,305551
12,307665
13,315380
14,337210
15,327682
16,322162
17,306994
18,312624
19,303618
20,514501
21,326941
22,319026
23,310710
24,304840
25,499915
26,311542
27,296745
28,293408
29,298258
30,298507
31,305390
32,715898
33,403885
34,393546
35,384559
36,361545
37,387103
38,388245
39,382074
40,368940
41,362988
42,378778
43,381313
44,347098
45,350585
46,457425
47,362788
48,366906
49,330588
50,372536
51,361055
52,352198
53,352309
54,349703
55,362036
56,352499
57,306523
58,355284
59,352800
60,362607
61,587848
62,391311
63,394818
64,405397
65,366204
66,377496
67,362237
68,348502
69,366685
70,363149
71,367226
72,362428
73,355775
74,364992
75,377134
76,385851
77,483293
78,352810
79,354873
80,376534
81,358189
82,355254
83,363058
84,363880
85,359001
86,583791
87,373528
88,364191
89,354663
90,352078
91,362277
92,369280
93,344844
94,319527
95,321671
96,329516
97,327181
98,330197
99,326400
100,326229
