run_id,model_transfer_time(ns),data_transfer_time(ns),output_transfer_time(ns)
1,199860375,3588135,8128661
2,362328,1504702,2091860
3,339004,1498881,2106797
4,352829,1507567,2094885
5,335737,1483091,2105074
6,338873,1495896,2090887
7,404786,1719954,2115073
8,421357,1490035,2082913
9,340236,2882496,2462462
10,548184,1837885,2835770
11,346357,1797219,2840388
12,504704,1820853,2863061
13,500596,1829829,2866997
14,353761,1989628,2564813
15,494394,1992062,2573268
16,505795,1804492,2416186
17,518569,1820642,2461770
18,524791,1809131,2464115
19,368950,1832885,2447974
20,526113,1809272,2448235
21,517658,1960805,2593256
22,355625,2137635,2705596
23,344574,1832414,2468824
24,515934,1821614,2459647
25,353049,1818559,2455810
26,520142,1803721,2446152
27,355885,1832585,2457062
28,354662,2619877,2641887
29,512628,1820642,2436423
30,354803,1802458,2441733
31,511376,1822076,2450851
32,514140,2313664,15778928
33,530662,1982585,2553312
34,360654,1973157,2506774
35,494825,1966706,2520621
36,497449,1997353,2571245
37,356897,1967677,2542431
38,512117,1962728,2521392
39,362578,1965624,2328151
40,362708,2003364,2335164
41,500204,1975783,2547771
42,371044,1959342,2549675
43,369030,1958971,2367033
44,498371,2001209,2522404
45,500335,1962448,2352546
46,360304,2047155,2375640
47,524079,1959522,2547401
48,496478,1945536,2571806
49,359532,2036235,2598365
50,359813,1957729,2331277
51,368830,1952840,2528285
52,356746,1957979,2554504
53,358550,1949193,2610488
54,495727,1992303,2549956
55,358650,1947750,2564453
56,495547,1961024,2570824
57,363629,1955555,2380689
58,356547,1954793,2520892
59,353029,1957057,2355191
60,359882,1951056,2561036
61,355735,2094103,2348900
62,369330,1969250,2507907
63,513039,1954192,2335314
64,362438,1953921,2487399
65,497790,1961475,2323172
66,495526,1957128,2536039
67,358760,1952649,2534957
68,497440,1962928,2355201
69,355334,1948832,2546419
70,357238,1959782,2554363
71,502920,1950365,2345053
72,496408,1963279,2514880
73,362187,1951547,2602935
74,360854,1951007,2371312
75,368859,1952078,2315587
76,357729,1955454,2549645
77,361556,2328141,5490000
78,512979,1969851,2574191
79,374560,1958931,2336406
80,377956,1953861,2502045
81,495476,1958320,2548072
82,496257,1969030,2338631
83,494534,1963068,2565605
84,498952,1950054,2536481
85,494304,1960914,2526341
86,356176,1966245,2115523
87,354101,1963490,2588819
88,358911,1958581,2532243
89,348742,2011880,2374598
90,342320,1966395,2381110
91,350024,1966244,18068908
92,531182,1967507,16839691
93,510675,1948982,2532432
94,344033,1987494,2560786
95,340637,1968398,2535218
96,483043,1951216,3723088
97,358880,1957739,5597671
98,507849,1989959,2360842
99,340496,1938362,2616721
100,353601,1952449,2614206
