run_id,model_transfer_time(ns),output_transfer_time(ns)
1,9737488,2806
2,5332196,1142
3,5167607,1433
4,5316446,1243
5,5274828,1192
6,5173088,1102
7,5090884,1152
8,4995566,1253
9,5442151,1142
10,5303542,1243
11,5080365,1113
12,5321114,1222
13,11383064,1213
14,5040881,1102
15,5339128,1483
16,5105231,1192
17,4875722,1021
18,5345850,1212
19,5393109,1093
20,4977293,1272
21,5236807,1152
22,5164922,1263
23,5325964,1112
24,5420519,1283
25,5055688,1132
26,4967894,1232
27,5230455,1152
28,5346131,1152
29,5477808,1182
30,5318349,1172
31,5306036,1182
32,4977983,1132
33,5231257,1193
34,5092897,1483
35,4809168,1152
36,5215086,6021
37,5345690,1192
38,5051741,1112
39,5425940,1202
40,4947847,1162
41,5329189,1583
42,4961442,1072
43,4973484,1232
44,5125008,1293
45,5354467,1032
46,5312869,1122
47,5231577,1423
48,5298312,1213
49,5315063,1163
50,5083731,1212
51,5257726,1463
52,5066538,1172
53,4940302,1072
54,5328258,1112
55,5174801,1132
56,4912862,1112
57,4977754,1152
58,6051199,1182
59,4877254,1052
60,5264709,1473
61,5285728,1172
62,5282592,1032
63,5308350,1012
64,5313961,1072
65,4979466,1382
66,5320704,1172
67,4996798,1152
68,5354227,1152
69,5035972,1082
70,5212432,1002
71,4979035,1273
72,5172878,1432
73,4989715,1392
74,5175823,1202
75,5248910,1322
76,4974407,1172
77,5167618,1212
78,4925404,1282
79,5002609,1422
80,4840246,10931
81,9238956,1162
82,4988232,1282
83,4954919,1022
84,5179359,1082
85,5001387,1102
86,4958446,1001
87,5257625,1222
88,5264228,1282
89,5304754,1282
90,5361921,1182
91,5321705,1383
92,5037595,1252
93,4996538,1052
94,5239712,1112
95,5159302,1153
96,5327967,1362
97,5148571,1162
98,5251775,1502
99,4845275,1202
100,5122483,1232
